Ano,1. Forest,1.1. Forest Formation,1.2. Savanna Formation,1.3. Mangrove,1.4. Wooded Restinga,2. Non Forest Natural Formation,2.1. Wetland,2.2. Grassland,2.3. Salt flat,2.4. Rocky outcrop,2.5. Other Non Forest Natural Formation,3. Farming,3.1. Pasture,3.2. Agriculture,3.2.1. Temporary Crops,3.2.1.1. Soybean,3.2.1.2. Sugar Cane,3.2.1.3. Rice,3.2.1.4. Other Temporary Crops,3.2.2. Perennial Crops,3.2.2.1. Coffee,3.2.2.2. Citrus,3.2.2.3. Other Perennial Crops,3.3. Forest Plantation,3.4. Mosaic of Agriculture and Pasture,4. Non Vegetated Area,4.1. Beach and Dune,4.2. Urban Area,4.3. Mining,4.4. Other Non Vegetated Area,5. Water,"5.1. River, Lake and Ocean"
1985,6637997.508,137390.7478,6500606.76,,,1215178.39,,1203300.259,,11878.13066,,2957673.34,1293002.23,30614.23155,13489.76634,,7904.272954,,5585.493389,17124.46521,151.4351188,16973.03009,,,1634056.879,94334.04272,,22518.51062,725.7727609,71089.75934,93614.34583,93614.34583
1986,6659134.13,131208.9293,6527925.2,,,1218946.164,,1207702.875,,11243.28945,,2930024.999,1307962.14,30911.5389,13515.60123,,7924.910049,,5590.691184,17395.93767,151.5230191,17244.41465,,,1591151.32,94790.938,,24958.88355,833.7909293,68998.26352,95901.39582,95901.39582
1987,6607259.352,128737.7795,6478521.572,,,1197580.727,,1182103.224,,15477.50296,,3007594.333,1383205.12,28848.27604,13711.69575,,8407.40388,,5304.291866,15136.5803,72.56197325,15064.01832,,,1595540.937,92853.12615,,25665.4973,892.569255,66295.0596,93510.08844,93510.08844
1988,6565508.356,127766.39,6437741.966,,,1206712.019,,1191626.319,,15085.69997,,2982521.445,1468444.891,25698.10329,13226.90334,,8561.500148,,4665.403189,12471.19995,37.02638208,12434.17357,,,1488378.451,96672.12695,,26457.3382,953.5423054,69261.24644,147383.6788,147383.6788
1989,6438621.116,130357.4368,6308263.679,,,1232886.739,,1222441.156,,10445.58282,,3059148.309,1548465.68,28414.59834,14206.16989,,8981.145492,,5225.0244,14208.42844,29.30445608,14179.12399,,,1482268.031,114402.4807,,27798.78116,989.5851892,85614.11437,153738.9822,153738.9822
1990,6365048.608,125831.8916,6239216.716,,,1061531.765,,1053973.714,,7558.050831,,3295022.86,1655162.188,30050.24908,14930.50253,,9541.042099,,5389.460434,15119.74654,10.61780856,15109.12874,,,1609810.423,122263.1378,,29017.29664,969.593071,92276.24805,154931.2555,154931.2555
1991,6307654.462,122626.4234,6185028.038,,,1064662.506,,1056841.287,,7821.219372,,3351773.257,1777610.267,32215.64034,15440.36308,,9838.911847,,5601.451236,16775.27725,6.844537146,16768.43271,,,1541947.35,122173.9027,,30082.8763,974.544576,91116.48181,152533.4987,152533.4987
1992,6280003.84,122537.3528,6157466.487,,,1125520.407,,1116238.237,,9282.169225,,3313990.721,1885375.776,38033.68027,17372.20119,,10993.83959,,6378.361603,20661.47908,1.315977051,20660.1631,,,1390581.264,125891.9799,,31032.23007,1042.744217,93817.00563,153390.6792,153390.6792
1993,6206463.728,122020.5306,6084443.198,,,1177870.612,,1169171.141,,8699.471204,,3336874.807,1990458.378,45265.75784,18719.93236,,11784.82514,,6935.10722,26545.82549,,26545.82549,,,1301150.67,131415.7957,,31661.42659,1086.626393,98667.74274,146172.6831,146172.6831
1994,6208281.968,121343.1691,6086938.799,,,1215129.119,,1205856.372,,9272.74716,,3299579.131,1991728.886,50899.75225,20758.53656,,13057.66811,,7700.868443,30141.21569,,30141.21569,,,1256950.493,129329.1358,,32381.718,1117.457585,95829.96023,146478.2721,146478.2721
1995,6127891.66,121146.0399,6006745.62,,,1257335.009,,1248723.403,,8611.606111,,3342231.338,1936483.739,54820.98278,21404.02714,,13435.335,,7968.692139,33416.95564,,33416.95564,,,1350926.616,125367.2734,,33145.45487,1158.599381,91063.21911,145972.346,145972.346
1996,6109797.435,122856.2597,5986941.176,,,1234520.664,,1226603.689,,7916.97462,,3388991.475,1902686.599,57801.37411,21868.21103,,13617.80295,,8250.408078,35933.16309,,35933.16309,,,1428503.502,119345.8768,,33854.66066,1189.161836,84302.05435,146142.1754,146142.1754
1997,6155738.484,124230.591,6031507.893,,,1107384.915,,1099426.748,,7958.167428,,3478899.924,1879673.342,61144.73249,22208.72887,,13854.85489,,8353.873975,38936.00362,,38936.00362,,,1538081.85,109755.7915,,34663.82679,1246.584205,73845.38045,147018.5114,147018.5114
1998,6103875.351,121674.8655,5982200.485,,,1111353.501,,1105205.616,,6147.885466,,3530982.015,1934603.659,64526.24275,22485.6081,,14209.1153,,8276.492795,42040.63465,,42040.63465,,,1531852.113,109704.6511,,35360.22147,1340.653887,73003.7757,142882.1077,142882.1077
1999,5931031.535,120908.7231,5810122.812,,,1285078.886,,1280455.882,,4623.004374,,3530717.632,1980491.883,70176.64137,23905.56273,,14738.74697,,9166.815759,46271.07864,2.192187683,46268.88646,,,1480049.108,108749.2565,,35887.46033,1345.309889,71516.48633,143220.3168,143220.3168
2000,5893132.064,120392.8266,5772739.238,,,1274351.565,,1269175.636,,5175.928464,,3584324.217,2038225.637,75497.86806,24684.62061,,14935.018,,9749.602615,50813.24745,2.981242157,50810.26621,,,1470600.712,108018.7351,,36451.38976,1347.772325,70219.573,138971.045,138971.045
2001,5830786.699,120213.8957,5710572.803,,,1285528.294,,1279365.095,,6163.199432,,3641674.197,2086657.516,82398.57433,27111.47001,,15763.14171,,11348.32831,55287.10431,7.189163959,55279.91515,,,1472618.107,105391.8036,,36924.94365,1335.438188,67131.42178,135416.6322,135416.6322
2002,5724301.495,118448.0512,5605853.444,,,1251333.693,,1244602.605,,6731.087216,,3764329.272,2092114.327,85795.08392,28747.86021,,16287.51361,,12460.3466,57047.22371,7.276836389,57039.94687,,,1586419.861,107088.353,,37300.15916,1275.230588,68512.96322,151744.8141,151744.8141
2003,5675579.587,118278.1254,5557301.462,,,1106501.828,,1100064.744,,6437.083883,,3960235.08,2079203.479,90707.19671,30973.41628,,16934.8906,,14038.52568,59733.78044,9.030291638,59724.75014,,,1790324.405,112429.5354,,37699.19029,1228.063264,73502.28187,144051.5956,144051.5956
2004,5714419.358,120222.0479,5594197.31,,,1180289.368,,1172725.758,,7563.609455,,3827491.897,2023642.446,99120.96806,35754.73773,,17663.96976,,18090.76797,63366.23033,8.328910168,63357.90142,,,1704728.483,108836.1107,,38016.5868,1286.160632,69533.36328,167760.8923,167760.8923
2005,5791291.988,119088.6544,5672203.334,,,1176561.3,,1170009.584,,6551.715906,,3756150.086,2020588.822,109252.2053,42498.94488,,18057.43235,,24441.51253,66753.26046,7.101492413,66746.15897,,,1626309.058,112812.9165,,38291.62537,1288.007872,73233.28328,161981.3361,161981.3361
2006,5869197.279,118610.0965,5750587.183,,,1151919.588,,1144961.412,,6958.17536,,3702618.815,2009131.492,120510.2277,51165.33762,,18015.7081,,33149.62951,69344.89013,0.789053741,69344.10108,,,1572977.095,118790.4208,,38680.80676,1295.400714,78814.21331,156271.5238,156271.5238
2007,5952690.114,120250.4016,5832439.713,,,1021680.646,,1014490.114,,7190.531734,,3742143.912,2068947.371,130802.9805,58178.85877,,18066.76315,,40112.09562,72624.12168,0.789053741,72623.33263,,,1542393.56,124272.8819,,38932.64387,1349.402565,83990.83545,158010.0726,158010.0726
2008,5860259.033,122312.8386,5737946.195,,,1088741.391,,1083742.95,,4998.440611,,3764114.68,2138068.367,135062.7976,62110.00413,,17816.77386,,44293.23027,72952.79351,0.789053741,72952.00445,,,1490983.516,122726.5912,,39315.12357,1344.619152,82066.84844,162955.9307,162955.9307
2009,5820899.22,123002.4438,5697896.776,,,1182417.961,,1179494.409,,2923.552776,,3718018.676,2143342.027,140021.7319,67093.21048,,17904.64394,,49188.56654,72928.52146,,72928.52146,,,1434654.917,118734.2401,,39808.40522,1331.918645,77593.91626,158727.5287,158727.5287
2010,5816529.702,122366.324,5694163.378,,,1190799.218,,1188306.016,,2493.201773,,3715017.612,2207454.25,147779.9152,73067.05642,,18104.61724,,54962.43918,74712.85874,,74712.85874,,,1359783.446,123077.8182,,40327.25643,1344.331718,81406.23,153373.2758,153373.2758
2011,5786265.779,120663.3947,5665602.385,,,1265492.943,,1263624.464,,1868.479251,,3668635.299,2272344.873,157226.355,79543.23165,,18463.14005,,61080.09161,77683.12331,,77683.12331,,,1239064.072,128993.2599,,40967.89852,1427.668342,86597.69306,149410.3451,149410.3451
2012,5622861.558,117207.7188,5505653.839,,,1318679.892,,1316237.831,,2442.061129,,3779709.973,2384971.786,163355.7204,81652.52214,,18889.54431,,62762.97783,81703.19826,2.721555609,81700.4767,,,1231382.467,139068.835,,41698.19794,1441.494013,95929.14309,138477.3675,138477.3675
2013,5572705.119,115179.3732,5457525.745,,,1316838.881,,1313480.215,,3358.666738,,3826603.362,2435345.365,162993.5747,77302.70496,,19117.21235,,58185.4926,85690.86971,5.881784015,85684.98792,,,1228264.422,155029.3116,,42418.2589,1439.368047,111171.6847,127620.9531,127620.9531
2014,5579599.177,120334.9618,5459264.215,,,1269091.861,,1264744.486,,4347.374734,,3867191.505,2460675.848,163548.6939,74371.6693,,20306.6972,,54064.9721,89177.02456,6.847665869,89170.17689,,,1242966.963,158023.0524,,42898.24728,1444.566214,113680.2389,124892.0307,124892.0307
2015,5604767.709,122700.786,5482066.923,,,1211259.01,,1201823.909,,9435.101394,,3904609.384,2352259.545,167833.2729,72492.40114,,20576.22412,,51916.17702,95340.87177,12.2012309,95328.67054,,,1384516.566,158588.2511,,43404.62199,1433.559842,113750.0693,119573.272,119573.272
2016,5640575.318,119327.9864,5521247.331,,,1126856.116,,1116505.393,,10350.72229,,3955066.18,2285951.027,175011.3877,77108.47904,,20629.67619,,56478.80285,97902.90869,10.18225703,97892.72643,,,1494103.766,156093.2248,,43727.45398,1447.739515,110918.0313,120206.7875,120206.7875
2017,5719855.371,120469.4568,5599385.914,,,1130286.135,,1118464.771,,11821.36367,,3878494.544,2257012.387,182629.6198,81517.91141,,20683.571,,60834.34041,101111.7084,12.20171023,101099.5067,,,1438852.537,151779.0658,,44166.34574,1501.027216,106111.6928,118382.5107,118382.5107
2018,5644330.894,127720.5996,5516610.294,,,1163542.524,,1148537.655,,15004.86899,,3924155.391,2231410.016,186544.0297,84065.08265,,20520.90676,,63544.1759,102478.947,9.218140369,102469.7289,,,1506201.345,142761.234,,44450.70262,1542.064456,96768.46696,124007.583,124007.583
2019,5668855.686,131878.5224,5536977.164,,,1255092.893,,1238830.493,,16262.39979,,3840036.922,2307088.752,194159.312,88840.80423,,20352.41038,,68488.39385,105318.5077,19.75001087,105298.7577,,,1338788.857,110138.1166,,44508.71621,1553.84874,64075.55167,124674.0093,124674.0093
2020,5560561.323,144336.6297,5416224.694,,,1145781.169,,1134290.554,,11490.61522,,4063232.523,2383605.601,193309.66,88070.41618,,20260.05818,,67810.35799,105239.2438,19.48641854,105219.7574,,,1486317.262,95690.81099,,45146.51363,1548.205291,48996.09207,133531.8004,133531.8004